alcaldia,colonia,casos_activos,poblacion_total,porcentaje_activos
cuauhtemoc,doctores iii,26,7942.0,0.11689999999999999
cuauhtemoc,juarez,27,10081.68868,0.1213
cuauhtemoc,peralvillo i,28,10567.0,0.1258
cuauhtemoc,san rafael ii,39,11900.382020000001,0.1753
cuauhtemoc,tabacalera,22,3267.0,0.0989
cuauhtemoc,morelos ii,18,12171.0,0.0809
gustavo a. madero,cuchilla del tesoro,27,12995.0,0.1213
gustavo a. madero,san felipe de jesus iii,47,12694.92623,0.21120000000000003
iztacalco,agricola oriental v,29,11181.0,0.1303
iztacalco,pantitlan ii,22,11682.0,0.0989
iztapalapa,jacarandas,48,6825.31896,0.2157
iztapalapa,consejo agrarista mexicano i,49,16349.0,0.2202
iztapalapa,lomas de san lorenzo ii,53,29932.531989999996,0.2382
iztapalapa,paseos de churubusco,20,9275.029623999999,0.08990000000000001
iztapalapa,los angeles,19,14055.34867,0.08539999999999999
iztapalapa,san miguel (barr),32,18924.33712,0.1438
iztapalapa,santa maria aztahuacan (ej) i,21,15057.159769999998,0.0944
iztapalapa,san juan xalpa ii,24,15898.90367,0.10789999999999998
iztapalapa,tepalcates ii,24,8359.0,0.10789999999999998
iztapalapa,el manto,32,10527.69,0.1438
la magdalena contreras,san jeronimo aculco - lidice (pblo),44,7050.2001,0.1978
la magdalena contreras,san bernabe ocotepec (pblo),51,12827.26847,0.22920000000000001
la magdalena contreras,la malinche,44,9808.513019,0.1978
la magdalena contreras,las cruces,36,10781.60059,0.1618
la magdalena contreras,cuauhtemoc,37,6802.198173000001,0.1663
miguel hidalgo,tacubaya,29,8386.692066,0.1303
milpa alta,villa milpa alta (pblo),96,16968.34939,0.43150000000000005
tlahuac,san pedro tlahuac (pblo),86,22844.93996,0.3865
tlahuac,santiago zapotitlan (pblo),42,43065.99878,0.1888
tlahuac,miguel hidalgo,43,13122.58258,0.19329999999999997
tlahuac,agricola metropolitana,38,6451.9248609999995,0.17079999999999998
tlahuac,unidades habitacionales de santa ana poniente i,40,18335.069180000002,0.17980000000000002
tlahuac,san jose,54,9302.906990000001,0.2427
tlahuac,la draga,38,8700.451216,0.17079999999999998
tlahuac,santa cecilia,36,6104.63669,0.1618
tlahuac,la estacion,35,10597.580390000001,0.1573
tlalpan,san miguel topilejo (pblo),83,14178.82753,0.373
tlalpan,tlalpan centro,26,8655.766839,0.11689999999999999
tlalpan,ampliacion miguel hidalgo 3a secc,45,15500.71926,0.2022
venustiano carranza,moctezuma 2a seccion iv,20,9964.883912000001,0.08990000000000001
xochimilco,san gregorio atlapulco (pblo),83,25456.42513,0.373
xochimilco,santiago tulyehualco (pblo),72,20860.48155,0.3236
xochimilco,santa cruz xochitepec (pblo),52,12078.07095,0.23370000000000002
xochimilco,santa maria tepepan (pblo),28,15438.74399,0.1258
xochimilco,san mateo xalpa (pblo),40,12343.58287,0.17980000000000002
xochimilco,santa cecilia tepetlapa (pblo),39,12066.95692,0.1753
xochimilco,tepepan (ampl),29,7505.606512,0.1303
